player_height,player_weight,pts,reb,ast,net_rating,usg_pct,ts_pct
198.12,95.25432,7.6,2.3,2,6.8,0.182,0.556
208.28,122.46984,5.5,2.9,0.5,2.9,0.209,0.508
210.82,102.0582,7.6,7.2,1.6,-12.6,0.193,0.444
203.2,117.93392,11.7,5.7,1.3,-4,0.276,0.503
208.28,104.32616,4.1,1.4,0.2,-3.8,0.199,0.474
213.36,113.398,5,3.8,0.7,-11.4,0.166,0.491
205.74,113.398,0.8,1.3,0.3,-9.6,0.127,0.313
190.5,88.45044,4.7,2.1,4.6,-0.4,0.176,0.473
210.82,112.490816,7.4,5.3,0.7,-2.6,0.189,0.496
205.74,111.13004,3.2,2.9,0.7,0.6,0.12,0.458
205.74,106.59412,14,7.9,2,-1.1,0.224,0.511
205.74,109.769264,0.5,0.6,0.3,-23,0.199,0.16
200.66,92.98636,2.3,1.3,0.8,2,0.128,0.427
190.5,74.389088,6.4,1.7,1,-2.4,0.238,0.464
195.58,92.98636,3.1,1.9,0.8,4.3,0.105,0.509
203.2,98.883056,9.8,5.1,1.4,-9.8,0.169,0.525
193.04,86.18248,5.1,3,3.4,-8.8,0.152,0.405
205.74,117.93392,18.4,7.6,3,-11.2,0.262,0.501
198.12,97.52228,3,1.2,0.9,-3.5,0.162,0.447
205.74,116.119552,20.6,7.8,4.7,3,0.276,0.534
200.66,100.697424,2.8,2.7,0.4,-3.9,0.147,0.392
208.28,115.66596,15.9,7.1,1.3,1.9,0.232,0.556
210.82,124.7378,4.5,5.9,0.3,0.1,0.134,0.535
208.28,108.86208,2,2,0,-5.9,0.139,0.404
195.58,97.52228,8.7,3,1.9,0.7,0.187,0.477
185.42,76.203456,6.1,2.2,3.2,-2.3,0.195,0.457
187.96,77.11064,3.4,1.1,1.7,-10.4,0.209,0.34
200.66,111.13004,10.1,8,1.7,2.3,0.172,0.517
205.74,106.140528,16.7,8.3,2.4,7.3,0.247,0.511
210.82,100.243832,6.7,5.6,1,6.2,0.152,0.528
195.58,81.64656,13,3.9,2.6,5.4,0.191,0.55
210.82,99.79024,23,13.4,6,6.8,0.262,0.553
187.96,88.45044,6.5,2.2,3.5,5.2,0.15,0.514
213.36,111.13004,4.2,3.2,0.3,-6,0.196,0.506
190.5,88.904032,6.4,1.3,1.6,-6.1,0.199,0.494
200.66,97.52228,30,6.9,5.9,3.7,0.329,0.55
208.28,99.79024,1,1.8,0,-19.2,0.178,0.4
208.28,100.243832,14.6,6.7,3.6,-6.7,0.22,0.519
200.66,89.811216,7.4,2.4,2.9,1.4,0.198,0.498
200.66,97.52228,14.1,4.4,2.3,-6,0.203,0.488
215.9,111.13004,3.3,3.3,0.7,0.7,0.175,0.403
208.28,113.398,4.6,3.7,0.2,-12.3,0.201,0.452
210.82,117.93392,10.5,6.1,1.9,-7,0.191,0.545
185.42,88.45044,12.5,2.8,4.3,6,0.229,0.509
213.36,102.0582,3.9,2.2,1.1,-9.8,0.167,0.374
208.28,108.86208,1,1.9,0.2,-7.9,0.104,0.485
198.12,95.25432,3.1,0.7,0.2,7.1,0.226,0.592
205.74,106.59412,7.7,6.4,0.8,-1.6,0.151,0.563
210.82,113.398,4.3,2.4,0.4,-11.9,0.208,0.415
205.74,107.954896,10.7,3.8,1.5,2.2,0.151,0.551
213.36,102.965384,19,8.8,2.8,-2.6,0.239,0.57
198.12,104.32616,25.9,7.3,4.4,2.7,0.329,0.532
208.28,104.32616,0,0.5,0,66.5,0.252,0
208.28,103.872568,19.2,5.5,2,8.2,0.223,0.6
193.04,88.45044,0,0.7,0.9,1.2,0.084,0
203.2,113.398,2,2.3,0.3,-8.8,0.167,0.396
210.82,123.377024,9.4,3.9,1,-3,0.211,0.459
198.12,102.0582,3.1,0.9,0.8,-9.8,0.205,0.392
215.9,114.305184,1.9,1,0.2,11.5,0.224,0.449
198.12,107.047712,9.4,4.8,0.9,-5.9,0.22,0.46
203.2,100.243832,2.4,1,0.2,-8.6,0.208,0.505
210.82,111.13004,9.3,4.8,0.8,7.7,0.168,0.578
187.96,83.91452,4.4,1.9,2.4,-0.1,0.159,0.47
203.2,102.0582,4.4,2.1,1.2,8.6,0.176,0.489
210.82,108.408488,10.7,9,1.9,2.4,0.139,0.592
213.36,102.0582,2.3,1,0.4,-18,0.204,0.517
187.96,92.98636,1.3,0.7,0.8,1.1,0.303,0.323
200.66,104.779752,17.6,6.6,1.7,5.2,0.237,0.588
190.5,87.089664,1.7,0.5,1.2,11.9,0.146,0.441
190.5,88.45044,5,2.9,3.2,-11.5,0.124,0.466
205.74,117.93392,8.4,3.6,1,-0.1,0.237,0.472
210.82,112.944408,6.9,4.7,1,4.3,0.19,0.514
208.28,117.93392,4.5,3.3,0.3,3.4,0.153,0.54
210.82,131.54168,0.8,0.8,0.3,-18.5,0.246,0.252
200.66,111.583632,15.5,5.2,2.9,7.6,0.223,0.529
195.58,95.25432,3,1.6,1.3,-1.2,0.094,0.474
195.58,86.18248,4.8,1,1.3,-6.9,0.179,0.553
